global_cycle_index,cycle_index,run_id,utc_timestamp,monotonic_start,trip_time_s,verdict,analysis_version,led_state_at_gate,degraded_flags,notes,source_run,source_cycle_index,delta_monotonic_s,ref_amplitude_v,noise_sigma_v,on_threshold_v,off_threshold_v,t0_s,t0_source,record_after_t0_s,burst_start_s,t_end_s,decision,sanity_failed_note,sanity_signal_present,sanity_no_pretrigger_leakage,sanity_record_spans_no_trip_limit,sanity_burst_starts_near_t0,sanity_collapse_is_clean,sanity_no_trip_persistent,utc_ts,utc_delta_s,process_segment,gap_over_baseline_s,is_process_pause,is_likely_retry,utc_hour
1,1,200_v3_real_20260813T131932Z,2026-08-13T13:20:25.405122+00:00,3819.542550279,0.0188919999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=166.834150; noise_sigma_v=0.951762; on_threshold_v=41.708538; off_threshold_v=16.683415; t0_s=-0.002068565; t0_source=detected_onset; record_after_t0_s=0.252068; burst_start_s=-0.002068565; t_end_s=0.016823435; decision=trip time within the pass limit; trip_time_s=0.018892000; analysis_version=v3",200_v3_real_20260813T131932Z,1,,166.83415,0.951762,41.708538,16.683415,-0.002068565,detected_onset,0.252068,-0.002068565,0.016823435,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:20:25.405122+00:00,,0,,False,False,13
2,2,200_v3_real_20260813T131932Z,2026-08-13T13:21:27.059570+00:00,3881.301395756,0.0156709999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=166.834150; noise_sigma_v=0.912023; on_threshold_v=41.708538; off_threshold_v=16.683415; t0_s=0.000000935; t0_source=detected_onset; record_after_t0_s=0.249999; burst_start_s=0.000000935; t_end_s=0.015671935; decision=trip time within the pass limit; trip_time_s=0.015671000; analysis_version=v3",200_v3_real_20260813T131932Z,2,61.75884547700025,166.83415,0.912023,41.708538,16.683415,9.35e-07,detected_onset,0.249999,9.35e-07,0.015671935,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:21:27.059570+00:00,61.654448,0,0.39803100000000313,False,False,13
3,3,200_v3_real_20260813T131932Z,2026-08-13T13:22:27.143026+00:00,3942.95159198,0.0126965,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=160.804000; noise_sigma_v=0.947078; on_threshold_v=40.201000; off_threshold_v=16.080400; t0_s=-0.008162065; t0_source=detected_onset; record_after_t0_s=0.258161; burst_start_s=-0.008162065; t_end_s=0.004534435; decision=trip time within the pass limit; trip_time_s=0.012696500; analysis_version=v3",200_v3_real_20260813T131932Z,3,61.65019622399995,160.804,0.947078,40.201,16.0804,-0.008162065,detected_onset,0.258161,-0.008162065,0.004534435,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:22:27.143026+00:00,60.083456,0,-1.1729610000000008,False,False,13
4,4,200_v3_real_20260813T131932Z,2026-08-13T13:23:28.478016+00:00,4002.970145282,0.0227225,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=166.834150; noise_sigma_v=0.734329; on_threshold_v=41.708538; off_threshold_v=16.683415; t0_s=-0.002598065; t0_source=detected_onset; record_after_t0_s=0.252598; burst_start_s=-0.002598065; t_end_s=0.020124435; decision=trip time within the pass limit; trip_time_s=0.022722500; analysis_version=v3",200_v3_real_20260813T131932Z,4,60.01855330199987,166.83415,0.734329,41.708538,16.683415,-0.002598065,detected_onset,0.252598,-0.002598065,0.020124435,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:23:28.478016+00:00,61.33499,0,0.07857299999999867,False,False,13
5,5,200_v3_real_20260813T131932Z,2026-08-13T13:24:28.296786+00:00,4064.280654522,0.0186694999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=166.834150; noise_sigma_v=1.007353; on_threshold_v=41.708538; off_threshold_v=16.683415; t0_s=-0.001889065; t0_source=detected_onset; record_after_t0_s=0.251888; burst_start_s=-0.001889065; t_end_s=0.016780435; decision=trip time within the pass limit; trip_time_s=0.018669500; analysis_version=v3",200_v3_real_20260813T131932Z,5,61.3105092400001,166.83415,1.007353,41.708538,16.683415,-0.001889065,detected_onset,0.251888,-0.001889065,0.016780435,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:24:28.296786+00:00,59.81877,0,-1.4376469999999983,False,False,13
6,6,200_v3_real_20260813T131932Z,2026-08-13T13:25:30.126435+00:00,4124.152219757,0.01795,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=164.824100; noise_sigma_v=0.692756; on_threshold_v=41.206025; off_threshold_v=16.482410; t0_s=-0.000000565; t0_source=detected_onset; record_after_t0_s=0.250000; burst_start_s=-0.000000565; t_end_s=0.017949435; decision=trip time within the pass limit; trip_time_s=0.017950000; analysis_version=v3",200_v3_real_20260813T131932Z,6,59.87156523500016,164.8241,0.692756,41.206025,16.48241,-5.65e-07,detected_onset,0.25,-5.65e-07,0.017949435,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:25:30.126435+00:00,61.829649,0,0.5732320000000044,False,False,13
7,7,200_v3_real_20260813T131932Z,2026-08-13T13:26:30.075416+00:00,4185.979683284,0.024354,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=164.824100; noise_sigma_v=0.693631; on_threshold_v=41.206025; off_threshold_v=16.482410; t0_s=-0.003719065; t0_source=detected_onset; record_after_t0_s=0.253718; burst_start_s=-0.003719065; t_end_s=0.020634935; decision=trip time within the pass limit; trip_time_s=0.024354000; analysis_version=v3",200_v3_real_20260813T131932Z,7,61.82746352699996,164.8241,0.693631,41.206025,16.48241,-0.003719065,detected_onset,0.253718,-0.003719065,0.020634935,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:26:30.075416+00:00,59.948981,0,-1.3074359999999956,False,False,13
8,8,200_v3_real_20260813T131932Z,2026-08-13T13:27:32.461227+00:00,4245.911542431,0.0119029999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=164.824100; noise_sigma_v=0.691643; on_threshold_v=41.206025; off_threshold_v=16.482410; t0_s=-0.005518065; t0_source=detected_onset; record_after_t0_s=0.255518; burst_start_s=-0.005518065; t_end_s=0.006384935; decision=trip time within the pass limit; trip_time_s=0.011903000; analysis_version=v3",200_v3_real_20260813T131932Z,8,59.93185914700007,164.8241,0.691643,41.206025,16.48241,-0.005518065,detected_onset,0.255518,-0.005518065,0.006384935,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:27:32.461227+00:00,62.385811,0,1.1293939999999978,False,False,13
9,9,200_v3_real_20260813T131932Z,2026-08-13T13:28:32.943976+00:00,4308.287053522,0.0234709999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=166.834150; noise_sigma_v=0.712069; on_threshold_v=41.708538; off_threshold_v=16.683415; t0_s=-0.002705565; t0_source=detected_onset; record_after_t0_s=0.252705; burst_start_s=-0.002705565; t_end_s=0.020765435; decision=trip time within the pass limit; trip_time_s=0.023471000; analysis_version=v3",200_v3_real_20260813T131932Z,9,62.37551109099968,166.83415,0.712069,41.708538,16.683415,-0.002705565,detected_onset,0.252705,-0.002705565,0.020765435,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:28:32.943976+00:00,60.482749,0,-0.7736680000000007,False,False,13
10,10,200_v3_real_20260813T131932Z,2026-08-13T13:29:34.699232+00:00,4368.823225077,0.0114879999999999,PASS,v3,CHARGING,,"endpoints=v3 endpoints: as v2, except detected-onset refinement below on_threshold must also be confirmed against the raw samples themselves (a short sustained run above the residual floor), not the forward-looking leading envelope alone. Fixes a v2 defect: a single noisy or quantization-limited sample crossing the residual floor could drag the refined onset back to an unrelated point in the pre-trigger record, because the leading envelope cannot distinguish an isolated sample from genuine sustained conduction within one envelope window. v1 and v2 results already recorded under those versions remain exactly as computed and are not retroactively corrected; replay under v3 to get the corrected number for a given waveform. trip_time_s = t_end - t0.; ref_amplitude_v=164.824100; noise_sigma_v=0.723028; on_threshold_v=41.206025; off_threshold_v=16.482410; t0_s=-0.005134065; t0_source=detected_onset; record_after_t0_s=0.255134; burst_start_s=-0.005134065; t_end_s=0.006353935; decision=trip time within the pass limit; trip_time_s=0.011488000; analysis_version=v3",200_v3_real_20260813T131932Z,10,60.53617155499978,164.8241,0.723028,41.206025,16.48241,-0.005134065,detected_onset,0.255134,-0.005134065,0.006353935,trip time within the pass limit,,True,True,True,True,True,True,2026-08-13 13:29:34.699232+00:00,61.755256,0,0.4988390000000038,False,False,13
